story,sentence
the_pie_and_the_patty-pan,. . .
goloshes,THE CLERK'S TRANSFORMATION
goloshes,THE WATCHMAN'S ADVENTURES
goloshes,THE BEST THING THE GOLOSHES DID
goloshes,COUNSELLOR WHAT HAPPENED TO THE COUNSELLOR
the_tale_of_benjamin_bunny,. . .
metal_pi,* * * * * * *
old_chur,* The Danish sculptor Thorwaldsen.
the_roly-poly_pudding,. .
the_adventures_of_chanticleer_and_partlet,"HOW PARTLET DIED AND WAS BURIED, AND HOW CHANTICLEER DIED OF GRIEF"
the_adventures_of_chanticleer_and_partlet,HOW CHANTICLEER AND PARTLET WENT TO VIST MR KORBES
the_adventures_of_chanticleer_and_partlet,HOW THEY WENT TO THE MOUNTAINS TO EAT NUTS
ib_and_l,* * * * * * *
the_tale_of_mr_tod,. . .
the_golden_goose,[*] Simpleton
the_tale_of_pigling_bland,. .
he_tale_of_squirrel_nutkinMANCORR,. . .
he_tale_of_squirrel_nutkinMANCORR,* * * * * * * *
